root,lelbow,lwrist,relbow,rwrist
0.849161,1.01561,1.00899,0.636767,0.629311
0.846301,1.01122,1.0033,0.623797,0.617118
0.846006,1.01225,1.003,0.624868,0.616271
0.846006,1.01225,1.003,0.624868,0.616271
0.846006,1.01225,1.003,0.624868,0.616271
0.845904,1.01267,1.0029,0.6253,0.61595
0.845904,1.01267,1.0029,0.6253,0.61595
0.845904,1.01267,1.0029,0.6253,0.61595
0.845671,1.01342,1.0027,0.626043,0.615304
0.845671,1.01342,1.0027,0.626043,0.615304
0.845521,1.01429,1.00255,0.626956,0.614736
0.845521,1.01429,1.00255,0.626956,0.614736
0.84969,1.01317,0.997312,0.65005,0.636426
0.849607,1.01364,0.997243,0.650531,0.636156
0.849516,1.01406,0.997169,0.650958,0.63589
0.849516,1.01406,0.997169,0.650958,0.63589
0.849464,1.01436,0.997129,0.651255,0.635719
0.849464,1.01436,0.997129,0.651255,0.635719
0.849464,1.01436,0.997129,0.651255,0.635719
0.864125,1.03087,1.01529,0.656987,0.661033
0.864125,1.03087,1.01529,0.656987,0.661033
0.864125,1.03087,1.01529,0.656987,0.661033
0.864044,1.03151,1.01519,0.657688,0.660748
0.864044,1.03151,1.01519,0.657688,0.660748
0.864044,1.03151,1.01519,0.657688,0.660748
0.861988,1.02386,1.00585,0.6621,0.66553
0.861988,1.02386,1.00585,0.6621,0.66553
0.861983,1.0241,1.00583,0.662371,0.665452
0.861983,1.0241,1.00583,0.662371,0.665452
0.861983,1.0241,1.00583,0.662371,0.665452
0.862001,1.02461,1.00581,0.662964,0.665332
0.864521,1.02782,1.00877,0.668004,0.668195
0.864521,1.02782,1.00877,0.668004,0.668195
0.864564,1.02829,1.00879,0.668503,0.668086
0.864564,1.02829,1.00879,0.668503,0.668086
0.864628,1.02881,1.0088,0.669101,0.667996
0.864628,1.02881,1.0088,0.669101,0.667996
0.866086,1.03069,1.01053,0.672127,0.669742
0.866113,1.03106,1.01053,0.672514,0.669639
0.866144,1.03128,1.01054,0.672758,0.669597
0.866144,1.03128,1.01054,0.672758,0.669597
0.866185,1.03158,1.01055,0.673098,0.669547
0.866185,1.03158,1.01055,0.673098,0.669547
0.873796,1.0444,1.01584,0.679715,0.673656
0.873851,1.04468,1.01588,0.680029,0.67366
0.873851,1.04468,1.01588,0.680029,0.67366
0.873851,1.04468,1.01588,0.680029,0.67366
0.876239,1.05836,1.02642,0.706627,0.678743
0.876239,1.05836,1.02642,0.706627,0.678743
0.876239,1.05836,1.02642,0.706627,0.678743
0.87638,1.05885,1.02651,0.707235,0.678815
0.87638,1.05885,1.02651,0.707235,0.678815
0.87638,1.05885,1.02651,0.707235,0.678815
0.876398,1.05893,1.02651,0.707351,0.678824
0.876398,1.05893,1.02651,0.707351,0.678824
0.876412,1.05882,1.02654,0.707189,0.678859
0.87036,1.03938,1.00674,0.71241,0.685688
0.87036,1.03938,1.00674,0.71241,0.685688
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870416,1.03927,1.0068,0.712289,0.685791
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
0.870485,1.03912,1.00688,0.712113,0.685918
