robot_x,robot_y,robot_z
0.0671461,-0.541102,0x7ffdcec47480
0.0671546,-0.541053,0x7ffdcec47480
0.0674263,-0.539163,0x7ffdcec47480
0.0674263,-0.539163,0x7ffdcec47480
0.0675561,-0.537989,0x7ffdcec47480
0.0675561,-0.537989,0x7ffdcec47480
0.0678174,-0.536634,0x7ffdcec47480
0.0678174,-0.536634,0x7ffdcec47480
0.0678174,-0.536634,0x7ffdcec47480
0.0684584,-0.535558,0x7ffdcec47480
0.0684584,-0.535558,0x7ffdcec47480
0.0684584,-0.535558,0x7ffdcec47480
0.0690299,-0.535013,0x7ffdcec47480
0.0690299,-0.535013,0x7ffdcec47480
0.0690299,-0.535013,0x7ffdcec47480
0.0702154,-0.534372,0x7ffdcec47480
0.0702154,-0.534372,0x7ffdcec47480
0.0702154,-0.534372,0x7ffdcec47480
0.0718764,-0.534034,0x7ffdcec47480
0.0718764,-0.534034,0x7ffdcec47480
0.0742413,-0.53391,0x7ffdcec47480
0.0742413,-0.53391,0x7ffdcec47480
0.0742413,-0.53391,0x7ffdcec47480
0.0753769,-0.53392,0x7ffdcec47480
0.0753769,-0.53392,0x7ffdcec47480
0.0753769,-0.53392,0x7ffdcec47480
0.0782036,-0.534111,0x7ffdcec47480
0.0782036,-0.534111,0x7ffdcec47480
0.0782036,-0.534111,0x7ffdcec47480
0.0810599,-0.534461,0x7ffdcec47480
0.0810599,-0.534461,0x7ffdcec47480
0.0831057,-0.534826,0x7ffdcec47480
0.0846751,-0.535146,0x7ffdcec47480
0.0846751,-0.535146,0x7ffdcec47480
0.0864064,-0.535455,0x7ffdcec47480
0.0864064,-0.535455,0x7ffdcec47480
0.0864064,-0.535455,0x7ffdcec47480
0.0901348,-0.53609,0x7ffdcec47480
0.0901348,-0.53609,0x7ffdcec47480
0.0948473,-0.536573,0x7ffdcec47480
0.0948473,-0.536573,0x7ffdcec47480
0.0948473,-0.536573,0x7ffdcec47480
0.0992935,-0.536788,0x7ffdcec47480
0.0992935,-0.536788,0x7ffdcec47480
0.0992935,-0.536788,0x7ffdcec47480
0.102473,-0.536804,0x7ffdcec47480
0.102473,-0.536804,0x7ffdcec47480
0.107496,-0.536728,0x7ffdcec47480
0.107496,-0.536728,0x7ffdcec47480
0.107496,-0.536728,0x7ffdcec47480
0.111013,-0.536614,0x7ffdcec47480
0.114598,-0.536431,0x7ffdcec47480
0.114598,-0.536431,0x7ffdcec47480
0.117478,-0.536254,0x7ffdcec47480
0.117478,-0.536254,0x7ffdcec47480
0.117478,-0.536254,0x7ffdcec47480
0.124417,-0.535644,0x7ffdcec47480
0.124417,-0.535644,0x7ffdcec47480
0.130668,-0.534803,0x7ffdcec47480
0.130668,-0.534803,0x7ffdcec47480
0.130668,-0.534803,0x7ffdcec47480
0.135063,-0.534139,0x7ffdcec47480
0.138412,-0.533595,0x7ffdcec47480
0.138412,-0.533595,0x7ffdcec47480
0.141886,-0.532978,0x7ffdcec47480
0.141886,-0.532978,0x7ffdcec47480
0.141886,-0.532978,0x7ffdcec47480
0.150036,-0.531413,0x7ffdcec47480
0.150036,-0.531413,0x7ffdcec47480
0.150036,-0.531413,0x7ffdcec47480
0.15774,-0.52986,0x7ffdcec47480
0.15774,-0.52986,0x7ffdcec47480
0.15774,-0.52986,0x7ffdcec47480
0.160848,-0.529219,0x7ffdcec47480
0.160848,-0.529219,0x7ffdcec47480
0.166865,-0.527888,0x7ffdcec47480
0.166865,-0.527888,0x7ffdcec47480
0.166865,-0.527888,0x7ffdcec47480
0.172534,-0.526507,0x7ffdcec47480
0.172534,-0.526507,0x7ffdcec47480
0.172534,-0.526507,0x7ffdcec47480
0.17871,-0.524921,0x7ffdcec47480
0.17871,-0.524921,0x7ffdcec47480
0.181203,-0.524285,0x7ffdcec47480
0.183614,-0.523671,0x7ffdcec47480
0.183614,-0.523671,0x7ffdcec47480
0.186704,-0.522864,0x7ffdcec47480
0.186704,-0.522864,0x7ffdcec47480
0.186704,-0.522864,0x7ffdcec47480
0.191147,-0.521662,0x7ffdcec47480
0.191147,-0.521662,0x7ffdcec47480
0.193171,-0.521085,0x7ffdcec47480
0.195862,-0.520323,0x7ffdcec47480
0.195862,-0.520323,0x7ffdcec47480
0.197847,-0.519751,0x7ffdcec47480
0.197847,-0.519751,0x7ffdcec47480
0.197847,-0.519751,0x7ffdcec47480
0.202071,-0.518498,0x7ffdcec47480
0.202071,-0.518498,0x7ffdcec47480
0.202071,-0.518498,0x7ffdcec47480
0.20601,-0.517319,0x7ffdcec47480
0.20601,-0.517319,0x7ffdcec47480
0.20601,-0.517319,0x7ffdcec47480
0.207616,-0.516807,0x7ffdcec47480
0.207616,-0.516807,0x7ffdcec47480
0.210746,-0.515818,0x7ffdcec47480
0.210746,-0.515818,0x7ffdcec47480
0.210746,-0.515818,0x7ffdcec47480
0.213594,-0.514874,0x7ffdcec47480
0.213594,-0.514874,0x7ffdcec47480
0.215483,-0.51424,0x7ffdcec47480
0.216817,-0.513786,0x7ffdcec47480
0.216817,-0.513786,0x7ffdcec47480
0.218099,-0.513355,0x7ffdcec47480
0.218099,-0.513355,0x7ffdcec47480
0.218099,-0.513355,0x7ffdcec47480
0.22095,-0.512416,0x7ffdcec47480
0.22095,-0.512416,0x7ffdcec47480
0.22095,-0.512416,0x7ffdcec47480
0.223701,-0.511454,0x7ffdcec47480
0.223701,-0.511454,0x7ffdcec47480
